site_id,source,date,lat,lon,pf_observed,pf_depth,thaw_depth,obs_limit,method,calm_site_code,calm_site_name,calm_gtnp_id,calm_country,calm_area,calm_ald_raw,calm_ald_bound_type,calm_ald_bound_cm,calm_year,calm_sample_comment,calm_validation_comment,calm_uri,calm_pi,calm_event_method_detail,calm_method_device,calm_event_comment,calm_event_latitude,calm_event_longitude,calm_elevation_m,calm_location
CALM_C1,CALM,1995-09-01,78.8833,-75.9167,1,43.0,43.0,,tp,C1,Alexandria Fiord,27,Canada,,43,exact,,1995,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/c1_f.html,Greg Henry,Spatially-oriented mechanical probing at 100 m Grid or Transect,Sampling permafrost (PERM),"PI: Greg Henry, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect",78.88333,-75.91667,0.0,Canada
CALM_C1,CALM,1996-09-01,78.8833,-75.9167,1,49.0,49.0,,tp,C1,Alexandria Fiord,27,Canada,,49,exact,,1996,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/c1_f.html,Greg Henry,Spatially-oriented mechanical probing at 100 m Grid or Transect,Sampling permafrost (PERM),"PI: Greg Henry, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect",78.88333,-75.91667,0.0,Canada
CALM_C1,CALM,1999-09-01,78.8833,-75.9167,1,57.0,57.0,,tp,C1,Alexandria Fiord,27,Canada,,57,exact,,1999,,not in ESA CCI Permafrost grid,https://www2.gwu.edu/~calm/data/webforms/c1_f.html,Greg Henry,Spatially-oriented mechanical probing at 100 m Grid or Transect,Sampling permafrost (PERM),"PI: Greg Henry, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect",78.88333,-75.91667,0.0,Canada
CALM_C1,CALM,2000-09-01,78.8833,-75.9167,1,62.0,62.0,,tp,C1,Alexandria Fiord,27,Canada,,62,exact,,2000,,not in ESA CCI Permafrost grid,https://www2.gwu.edu/~calm/data/webforms/c1_f.html,Greg Henry,Spatially-oriented mechanical probing at 100 m Grid or Transect,Sampling permafrost (PERM),"PI: Greg Henry, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect",78.88333,-75.91667,0.0,Canada
CALM_C1,CALM,2001-09-01,78.8833,-75.9167,1,58.0,58.0,,tp,C1,Alexandria Fiord,27,Canada,,58,exact,,2001,,not in ESA CCI Permafrost grid,https://www2.gwu.edu/~calm/data/webforms/c1_f.html,Greg Henry,Spatially-oriented mechanical probing at 100 m Grid or Transect,Sampling permafrost (PERM),"PI: Greg Henry, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect",78.88333,-75.91667,0.0,Canada
CALM_C10,CALM,1990-09-01,65.2833,-126.8833,1,62.0,62.0,,temp,C10,Pump Station,178,Canada,,62,exact,,1990,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",65.28333,-126.8833,60.0,Canada
CALM_C10,CALM,1991-09-01,65.2833,-126.8833,1,66.0,66.0,,temp,C10,Pump Station,178,Canada,,66,exact,,1991,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",65.28333,-126.8833,60.0,Canada
CALM_C10,CALM,1992-09-01,65.2833,-126.8833,1,64.0,64.0,,temp,C10,Pump Station,178,Canada,,64,exact,,1992,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",65.28333,-126.8833,60.0,Canada
CALM_C10,CALM,1993-09-01,65.2833,-126.8833,1,58.0,58.0,,temp,C10,Pump Station,178,Canada,,58,exact,,1993,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",65.28333,-126.8833,60.0,Canada
CALM_C10,CALM,1994-09-01,65.2833,-126.8833,1,60.0,60.0,,temp,C10,Pump Station,178,Canada,,60,exact,,1994,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",65.28333,-126.8833,60.0,Canada
CALM_C10,CALM,1995-09-01,65.2833,-126.8833,1,63.0,63.0,,temp,C10,Pump Station,178,Canada,,63,exact,,1995,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",65.28333,-126.8833,60.0,Canada
CALM_C10,CALM,1996-09-01,65.2833,-126.8833,1,61.0,61.0,,temp,C10,Pump Station,178,Canada,,61,exact,,1996,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",65.28333,-126.8833,60.0,Canada
CALM_C10,CALM,1997-09-01,65.2833,-126.8833,1,77.0,77.0,,temp,C10,Pump Station,178,Canada,,77,exact,,1997,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",65.28333,-126.8833,60.0,Canada
CALM_C10,CALM,1998-09-01,65.2833,-126.8833,1,78.0,78.0,,temp,C10,Pump Station,178,Canada,,78,exact,,1998,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",65.28333,-126.8833,60.0,Canada
CALM_C10,CALM,1999-09-01,65.2833,-126.8833,1,77.0,77.0,,temp,C10,Pump Station,178,Canada,,77,exact,,1999,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",65.28333,-126.8833,60.0,Canada
CALM_C10,CALM,2000-09-01,65.2833,-126.8833,1,80.0,80.0,,temp,C10,Pump Station,178,Canada,,80,exact,,2000,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",65.28333,-126.8833,60.0,Canada
CALM_C11A,CALM,1992-09-01,65.1931,-126.4689,1,64.0,64.0,,tt,C11 A,Norman Wells   (Thaw tube),172,Canada,,64,exact,,1992,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Thaw tube measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements",65.19306,-126.4689,61.0,Canada
CALM_C11A,CALM,1993-09-01,65.1931,-126.4689,1,63.0,63.0,,tt,C11 A,Norman Wells   (Thaw tube),172,Canada,,63,exact,,1993,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Thaw tube measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements",65.19306,-126.4689,61.0,Canada
CALM_C11A,CALM,1994-09-01,65.1931,-126.4689,1,61.0,61.0,,tt,C11 A,Norman Wells   (Thaw tube),172,Canada,,61,exact,,1994,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Thaw tube measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements",65.19306,-126.4689,61.0,Canada
CALM_C11A,CALM,1995-09-01,65.1931,-126.4689,1,61.0,61.0,,tt,C11 A,Norman Wells   (Thaw tube),172,Canada,,61,exact,,1995,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Thaw tube measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements",65.19306,-126.4689,61.0,Canada
CALM_C11A,CALM,1996-09-01,65.1931,-126.4689,1,59.0,59.0,,tt,C11 A,Norman Wells   (Thaw tube),172,Canada,,59,exact,,1996,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Thaw tube measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements",65.19306,-126.4689,61.0,Canada
CALM_C11A,CALM,1997-09-01,65.1931,-126.4689,1,59.0,59.0,,tt,C11 A,Norman Wells   (Thaw tube),172,Canada,,59,exact,,1997,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Thaw tube measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements",65.19306,-126.4689,61.0,Canada
CALM_C11A,CALM,1998-09-01,65.1931,-126.4689,1,66.0,66.0,,tt,C11 A,Norman Wells   (Thaw tube),172,Canada,,66,exact,,1998,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Thaw tube measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements",65.19306,-126.4689,61.0,Canada
CALM_C11A,CALM,1999-09-01,65.1931,-126.4689,1,64.0,64.0,,tt,C11 A,Norman Wells   (Thaw tube),172,Canada,,64,exact,,1999,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Thaw tube measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements",65.19306,-126.4689,61.0,Canada
CALM_C11A,CALM,2000-09-01,65.1931,-126.4689,1,64.0,64.0,,tt,C11 A,Norman Wells   (Thaw tube),172,Canada,,64,exact,,2000,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Thaw tube measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements",65.19306,-126.4689,61.0,Canada
CALM_C11A,CALM,2001-09-01,65.1931,-126.4689,1,66.0,66.0,,tt,C11 A,Norman Wells   (Thaw tube),172,Canada,,66,exact,,2001,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Thaw tube measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements",65.19306,-126.4689,61.0,Canada
CALM_C11A,CALM,2002-09-01,65.1931,-126.4689,1,64.0,64.0,,tt,C11 A,Norman Wells   (Thaw tube),172,Canada,,64,exact,,2002,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Thaw tube measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements",65.19306,-126.4689,61.0,Canada
CALM_C11A,CALM,2003-09-01,65.1931,-126.4689,1,60.0,60.0,,tt,C11 A,Norman Wells   (Thaw tube),172,Canada,,60,exact,,2003,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Thaw tube measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements",65.19306,-126.4689,61.0,Canada
CALM_C11A,CALM,2004-09-01,65.1931,-126.4689,1,60.0,60.0,,tt,C11 A,Norman Wells   (Thaw tube),172,Canada,,60,exact,,2004,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Thaw tube measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements",65.19306,-126.4689,61.0,Canada
CALM_C11A,CALM,2005-09-01,65.1931,-126.4689,1,61.0,61.0,,tt,C11 A,Norman Wells   (Thaw tube),172,Canada,,61,exact,,2005,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Thaw tube measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements",65.19306,-126.4689,61.0,Canada
CALM_C11B,CALM,1998-09-01,65.1931,-126.4689,1,50.0,50.0,,tp,C11 B,Norman Wells   (grid),33,Canada,,50,exact,,1998,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Spatially-oriented mechanical probing at 100 m Grid or Transect,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect",65.19306,-126.4689,61.0,Canada
CALM_C11B,CALM,1999-09-01,65.1931,-126.4689,1,49.0,49.0,,tp,C11 B,Norman Wells   (grid),33,Canada,,49,exact,,1999,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Spatially-oriented mechanical probing at 100 m Grid or Transect,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect",65.19306,-126.4689,61.0,Canada
CALM_C11B,CALM,2000-09-01,65.1931,-126.4689,1,45.0,45.0,,tp,C11 B,Norman Wells   (grid),33,Canada,,45,exact,,2000,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Spatially-oriented mechanical probing at 100 m Grid or Transect,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect",65.19306,-126.4689,61.0,Canada
CALM_C11B,CALM,2001-09-01,65.1931,-126.4689,1,45.0,45.0,,tp,C11 B,Norman Wells   (grid),33,Canada,,45,exact,,2001,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Spatially-oriented mechanical probing at 100 m Grid or Transect,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect",65.19306,-126.4689,61.0,Canada
CALM_C11B,CALM,2002-09-01,65.1931,-126.4689,1,47.0,47.0,,tp,C11 B,Norman Wells   (grid),33,Canada,,47,exact,,2002,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Spatially-oriented mechanical probing at 100 m Grid or Transect,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect",65.19306,-126.4689,61.0,Canada
CALM_C11B,CALM,2003-09-01,65.1931,-126.4689,1,41.0,41.0,,tp,C11 B,Norman Wells   (grid),33,Canada,,41,exact,,2003,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Spatially-oriented mechanical probing at 100 m Grid or Transect,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect",65.19306,-126.4689,61.0,Canada
CALM_C11B,CALM,2004-09-01,65.1931,-126.4689,1,39.0,39.0,,tp,C11 B,Norman Wells   (grid),33,Canada,,39,exact,,2004,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Spatially-oriented mechanical probing at 100 m Grid or Transect,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect",65.19306,-126.4689,61.0,Canada
CALM_C11B,CALM,2005-09-01,65.1931,-126.4689,1,46.0,46.0,,tp,C11 B,Norman Wells   (grid),33,Canada,,46,exact,,2005,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Spatially-oriented mechanical probing at 100 m Grid or Transect,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect",65.19306,-126.4689,61.0,Canada
CALM_C11B,CALM,2006-09-01,65.1931,-126.4689,1,48.0,48.0,,tp,C11 B,Norman Wells   (grid),33,Canada,,48,exact,,2006,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Spatially-oriented mechanical probing at 100 m Grid or Transect,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect",65.19306,-126.4689,61.0,Canada
CALM_C11B,CALM,2007-09-01,65.1931,-126.4689,1,47.0,47.0,,tp,C11 B,Norman Wells   (grid),33,Canada,,47,exact,,2007,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Spatially-oriented mechanical probing at 100 m Grid or Transect,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect",65.19306,-126.4689,61.0,Canada
CALM_C11B,CALM,2008-09-01,65.1931,-126.4689,1,50.0,50.0,,tp,C11 B,Norman Wells   (grid),33,Canada,,50,exact,,2008,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Spatially-oriented mechanical probing at 100 m Grid or Transect,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect",65.19306,-126.4689,61.0,Canada
CALM_C12,CALM,1990-09-01,64.9167,-125.5833,1,71.0,71.0,,temp,C12,Great Bear River,,Canada,,71,exact,,1990,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",64.91667,-125.5833,,Canada
CALM_C12,CALM,1991-09-01,64.9167,-125.5833,1,72.0,72.0,,temp,C12,Great Bear River,,Canada,,72,exact,,1991,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",64.91667,-125.5833,,Canada
CALM_C12,CALM,1992-09-01,64.9167,-125.5833,1,72.0,72.0,,temp,C12,Great Bear River,,Canada,,72,exact,,1992,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",64.91667,-125.5833,,Canada
CALM_C12,CALM,1993-09-01,64.9167,-125.5833,1,72.0,72.0,,temp,C12,Great Bear River,,Canada,,72,exact,,1993,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",64.91667,-125.5833,,Canada
CALM_C12,CALM,1994-09-01,64.9167,-125.5833,1,69.0,69.0,,temp,C12,Great Bear River,,Canada,,69,exact,,1994,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",64.91667,-125.5833,,Canada
CALM_C12,CALM,1995-09-01,64.9167,-125.5833,1,69.0,69.0,,temp,C12,Great Bear River,,Canada,,69,exact,,1995,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",64.91667,-125.5833,,Canada
CALM_C12,CALM,1996-09-01,64.9167,-125.5833,1,63.0,63.0,,temp,C12,Great Bear River,,Canada,,63,exact,,1996,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",64.91667,-125.5833,,Canada
CALM_C12,CALM,1997-09-01,64.9167,-125.5833,1,69.0,69.0,,temp,C12,Great Bear River,,Canada,,69,exact,,1997,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",64.91667,-125.5833,,Canada
CALM_C12,CALM,1998-09-01,64.9167,-125.5833,1,87.0,87.0,,temp,C12,Great Bear River,,Canada,,87,exact,,1998,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",64.91667,-125.5833,,Canada
CALM_C12,CALM,1999-09-01,64.9167,-125.5833,1,86.0,86.0,,temp,C12,Great Bear River,,Canada,,86,exact,,1999,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",64.91667,-125.5833,,Canada
CALM_C12,CALM,2000-09-01,64.9167,-125.5833,1,86.0,86.0,,temp,C12,Great Bear River,,Canada,,86,exact,,2000,,,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Ground temperature measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements",64.91667,-125.5833,,Canada
CALM_C13,CALM,1993-09-01,63.5,-123.7,1,,,,unknown,C13,Ochre River,177,Canada,,<58,upper,58.0,1993,,not in ESA CCI Permafrost time-frame,,,,Sampling permafrost (PERM),,63.5,-123.7,,Canada
CALM_C13,CALM,1994-09-01,63.5,-123.7,1,60.0,60.0,,unknown,C13,Ochre River,177,Canada,,60,exact,,1994,,not in ESA CCI Permafrost time-frame,,,,Sampling permafrost (PERM),,63.5,-123.7,,Canada
CALM_C13,CALM,1995-09-01,63.5,-123.7,1,58.0,58.0,,unknown,C13,Ochre River,177,Canada,,58,exact,,1995,,not in ESA CCI Permafrost time-frame,,,,Sampling permafrost (PERM),,63.5,-123.7,,Canada
CALM_C13,CALM,1996-09-01,63.5,-123.7,1,63.0,63.0,,unknown,C13,Ochre River,177,Canada,,63,exact,,1996,,not in ESA CCI Permafrost time-frame,,,,Sampling permafrost (PERM),,63.5,-123.7,,Canada
CALM_C13,CALM,1997-09-01,63.5,-123.7,1,,,,unknown,C13,Ochre River,177,Canada,,<65,upper,65.0,1997,,,,,,Sampling permafrost (PERM),,63.5,-123.7,,Canada
CALM_C13,CALM,1998-09-01,63.5,-123.7,1,66.0,66.0,,unknown,C13,Ochre River,177,Canada,,66,exact,,1998,,,,,,Sampling permafrost (PERM),,63.5,-123.7,,Canada
CALM_C13,CALM,1999-09-01,63.5,-123.7,1,65.0,65.0,,unknown,C13,Ochre River,177,Canada,,65,exact,,1999,,,,,,Sampling permafrost (PERM),,63.5,-123.7,,Canada
CALM_C13,CALM,2000-09-01,63.5,-123.7,1,65.0,65.0,,unknown,C13,Ochre River,177,Canada,,65,exact,,2000,,,,,,Sampling permafrost (PERM),,63.5,-123.7,,Canada
CALM_C13,CALM,2001-09-01,63.5,-123.7,1,64.0,64.0,,unknown,C13,Ochre River,177,Canada,,64,exact,,2001,,,,,,Sampling permafrost (PERM),,63.5,-123.7,,Canada
CALM_C13,CALM,2002-09-01,63.5,-123.7,1,64.0,64.0,,unknown,C13,Ochre River,177,Canada,,64,exact,,2002,,,,,,Sampling permafrost (PERM),,63.5,-123.7,,Canada
CALM_C13,CALM,2003-09-01,63.5,-123.7,1,64.0,64.0,,unknown,C13,Ochre River,177,Canada,,64,exact,,2003,,,,,,Sampling permafrost (PERM),,63.5,-123.7,,Canada
CALM_C13,CALM,2004-09-01,63.5,-123.7,1,58.0,58.0,,unknown,C13,Ochre River,177,Canada,,58,exact,,2004,,,,,,Sampling permafrost (PERM),,63.5,-123.7,,Canada
CALM_C13,CALM,2005-09-01,63.5,-123.7,1,62.0,62.0,,unknown,C13,Ochre River,177,Canada,,62,exact,,2005,,,,,,Sampling permafrost (PERM),,63.5,-123.7,,Canada
CALM_C13,CALM,2006-09-01,63.5,-123.7,1,66.0,66.0,,unknown,C13,Ochre River,177,Canada,,66,exact,,2006,,,,,,Sampling permafrost (PERM),,63.5,-123.7,,Canada
CALM_C13,CALM,2007-09-01,63.5,-123.7,1,67.0,67.0,,unknown,C13,Ochre River,177,Canada,,67,exact,,2007,,,,,,Sampling permafrost (PERM),,63.5,-123.7,,Canada
CALM_C13,CALM,2012-09-01,63.5,-123.7,1,69.0,69.0,,unknown,C13,Ochre River,177,Canada,,69,exact,,2012,,,,,,Sampling permafrost (PERM),,63.5,-123.7,,Canada
CALM_C13,CALM,2014-09-01,63.5,-123.7,1,72.0,72.0,,unknown,C13,Ochre River,177,Canada,,72,exact,,2014,,,,,,Sampling permafrost (PERM),,63.5,-123.7,,Canada
CALM_C13,CALM,2017-09-01,63.5,-123.7,1,70.0,70.0,,unknown,C13,Ochre River,177,Canada,,70,exact,,2017,,,,,,Sampling permafrost (PERM),,63.5,-123.7,,Canada
CALM_C14A,CALM,1993-09-01,62.6967,-123.065,1,79.0,79.0,,tt,C14 A,Willowlake River,173,Canada,,79,exact,,1993,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Thaw tube measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements",62.69667,-123.065,108.0,Canada
CALM_C14A,CALM,1994-09-01,62.6967,-123.065,1,83.0,83.0,,tt,C14 A,Willowlake River,173,Canada,,83,exact,,1994,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Thaw tube measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements",62.69667,-123.065,108.0,Canada
CALM_C14A,CALM,1995-09-01,62.6967,-123.065,1,84.0,84.0,,tt,C14 A,Willowlake River,173,Canada,,84,exact,,1995,,not in ESA CCI Permafrost time-frame,https://www2.gwu.edu/~calm/data/webforms/MT_f.html,"Caroline Duchesne, Sharon Smith",Thaw tube measurements,Sampling permafrost (PERM),"PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements",62.69667,-123.065,108.0,Canada
